CP3,Northing,Easting,Elevation
dem1130,4483194.783,343993.323,2054.513
dem1131,4483193.899,343994.001,2054.552
dem1132,4483193.051,343993.592,2054.628
dem1133,4483192.994,343992.426,2054.65
dem1134,4483193.462,343991.224,2054.649
dem1135,4483194.138,343989.992,2054.67
dem1136,4483194.809,343988.74,2054.705
dem1137,4483195.481,343987.446,2054.786
dem1138,4483196.165,343986.132,2054.812
dem1139,4483196.816,343984.878,2054.858
dem1140,4483197.45,343983.657,2054.994
dem1141,4483198.189,343982.512,2055.082
dem1142,4483198.875,343981.356,2055.132
dem1143,4483199.544,343980.204,2055.21
dem1144,4483200.283,343979.067,2055.296
dem1145,4483200.848,343977.967,2055.327
dem1146,4483200.765,343976.808,2055.343
dem1147,4483199.79,343976.136,2055.434
dem1148,4483198.678,343976.515,2055.443
dem1149,4483197.778,343977.457,2055.352
dem1150,4483197.013,343978.599,2055.283
dem1151,4483196.321,343979.793,2055.249
dem1152,4483195.599,343981.003,2055.194
dem1153,4483194.928,343982.166,2055.107
dem1154,4483194.213,343983.354,2055.028
dem1155,4483193.501,343984.601,2054.914
dem1156,4483192.797,343985.839,2054.837
dem1157,4483192.131,343987.101,2054.788
dem1158,4483191.452,343988.312,2054.796
dem1159,4483190.838,343989.53,2054.804
dem1160,4483190.16,343990.652,2054.806
dem1161,4483189.188,343991.195,2054.793
dem1162,4483188.153,343990.657,2054.822
dem1163,4483187.874,343989.344,2054.801
dem1164,4483188.232,343988,2054.866
dem1165,4483188.837,343986.722,2054.914
dem1166,4483189.511,343985.483,2054.905
dem1167,4483190.228,343984.312,2054.951
dem1168,4483190.9,343983.121,2055.059
dem1169,4483191.569,343981.926,2055.136
dem1170,4483192.194,343980.753,2055.172
dem1171,4483192.832,343979.677,2055.215
dem1172,4483193.489,343978.706,2055.298
dem1173,4483194.163,343977.807,2055.326
dem1174,4483194.684,343976.816,2055.435
dem1175,4483195.103,343975.74,2055.467
dem1176,4483195.372,343974.729,2055.533
dem1177,4483195.264,343973.897,2055.593
dem1178,4483194.596,343973.19,2055.675
dem1179,4483193.52,343973.082,2055.687
dem1180,4483192.771,343973.745,2055.612
dem1181,4483192.243,343974.734,2055.595
